id,slug,name,website,launch_monitors,price_min,price_max,price_snippets,crawl_status
1bcdb57d-58b2-42c9-9871-67eba4defdf4,the-caddy-shack-halifax-ma,The Caddy Shack,https://www.thecaddyshack.net/,,,,,ok
1c24254a-ec95-4219-9b70-bfe699da2bcd,mitchell-golf-equipment-company-albion-mi,Mitchell GOLF Equipment Company,https://www.mitchellgolf.com/,,,,,ok
1c300538-2b12-4ee0-b27a-f0d49e124cea,chris-cotes-golf-shop-southington-southington-ct,Chris Cote's GOLF Shop - Southington,https://www.chriscotegolf.com/,TrackMan,,,,ok
1c3a83db-11c5-42ae-85da-336dddfa2ecd,rick-nielsen-pga-gsem-yonkers-ny,"Rick Nielsen, Pga, Gsem",https://www.ricknielsengolf.com/,FlightScope,,,,ok
1c726eee-b758-4359-b492-f32045cd0474,integrity-golf-performance-frisco-tx,Integrity GOLF Performance,https://igp.golf/,,,,,ok
1c8cf4f7-ddcf-45db-ad2a-77e2dc40fba3,pinehurst-golf-course-proshop-pinehurst-nc,Pinehurst GOLF Course Proshop,https://pinehurst.com/,,,,,failed
1ca669a1-8fa8-46df-85b5-8a5f4b94c919,grand-forks-pro-shop-grand-forks-nd,Grand Forks PRO Shop,https://www.gfcountryclub.com/,,,,,ok
1d6a6b45-80ff-4bd2-996a-425c00ef8805,midland-golf-hq-midland-mi,Midland GOLF Hq,https://midlandgolfhq.com/,FlightScope,,,,ok
1d7e0090-080d-466a-b34f-413d3402f3f0,brandon-roby-golf-grand-rapids-mi,Brandon Roby GOLF,https://brandonrobygolf.com/,TrackMan,,,,ok
1d8c9908-b6ee-443f-8e58-e0acc8e97188,las-vegas-golf-superstore-las-vegas-nv,Las Vegas GOLF Superstore,https://stores.worldwidegolfshops.com/nv/lasvegas/las-vegas-golf-superstore-lvg.html,,,,,ok
1ddf7100-e6dd-4fcc-955c-ea947c183297,westerly-golf-services-westerly-ri,Westerly GOLF Services,https://www.westerlygolfservices.com/,,,,,ok
1e425dd2-8a42-46f3-9e82-012c92c188ca,superare-fight-shop-new-york-ny,Superare Fight Shop,https://superareshop.com/,,,,,ok
1e8769dd-1a5e-4fd8-9a89-185cbcc4cfca,park-hills-golf-club-pro-shop-altoona-pa,Park Hills GOLF Club PRO Shop,https://www.parkhillsgc.com/,,,,,ok
1eb44564-b74d-4ac9-9107-7ea7825865ce,grips-fast-golf-sacramento-ca,Grips Fast GOLF,https://gripsfastgolf.com/,,,,,ok
1ed3b93a-e3d2-4bbc-b16d-1939ff817c1d,gastraus-golf-center-oak-creek-wi,Gastrau's GOLF Center,https://www.gastrausgolfcenter.com/,TrackMan,,,,ok
